fid,name,population,county,latitude,longitude,level,enrollment,level.1
2225,EUREKA LEARNING CENTER,18,SAN FRANCISCO,37.754909,-122.436732,Elementary,16,Elementary
23807,FEI TIAN ACADEMY OF THE ARTS,52,SAN FRANCISCO,37.767231,-122.402144,Combined elementary and secondary,37,Combined elementary and secondary
2508,HAMLIN SCHOOL,443,SAN FRANCISCO,37.795089,-122.432645,Elementary,404,Elementary
2660,HEARING & SPEECH CENTER OF NORTHERN CALIFORNIA,7,SAN FRANCISCO,37.781055,-122.438741,Elementary,5,Elementary
2672,HERGL SCHOOL,12,SAN FRANCISCO,37.800359,-122.425534,Combined elementary and secondary,11,Combined elementary and secondary
2676,HILLWOOD ACADEMIC DAY SCHOOL,44,SAN FRANCISCO,37.793394,-122.440093,Elementary,40,Elementary
2567,HOLY NAME ELEMENTARY SCHOOL,364,SAN FRANCISCO,37.757474,-122.499121,Elementary,350,Elementary
2630,IMMACULATE CONCEPTION ACADEMY,258,SAN FRANCISCO,37.75187,-122.423418,Secondary,243,Secondary
2272,JEWISH COMMUNITY HIGH SCHOOL OF THE BAY,203,SAN FRANCISCO,37.781672,-122.436483,Secondary,174,Secondary
2219,JOSHUA MARIE CAMERON ACADEMY,16,SAN FRANCISCO,37.741138,-122.387654,Secondary,13,Secondary
2655,KATHERINE DELMAR BURKE SCHOOL,457,SAN FRANCISCO,37.784404,-122.493225,Elementary,401,Elementary
2388,KATHERINE MICHIELS SCHOOL,47,SAN FRANCISCO,37.749843,-122.422579,Elementary,38,Elementary
2657,KITTREDGE SCHOOL,88,SAN FRANCISCO,37.785687,-122.484651,Elementary,78,Elementary
2179,KZV ARMENIAN SCHOOL,102,SAN FRANCISCO,37.713879,-122.478546,Elementary,91,Elementary
2462,LAKESIDE PRESBYTERIAN CENTER FOR CHILDREN,7,SAN FRANCISCO,37.72678,-122.478679,Elementary,6,Elementary
2588,LICK-WILMERDING HIGH SCHOOL,497,SAN FRANCISCO,37.72236,-122.449164,Secondary,445,Secondary
2238,LISA KAMPNER HEBREW ACADEMY,98,SAN FRANCISCO,37.776232,-122.472761,Combined elementary and secondary,81,Combined elementary and secondary
2651,LIVE OAK SCHOOL,307,SAN FRANCISCO,37.763538,-122.398988,Elementary,274,Elementary
2204,LYCEE FRANCAIS LA PEROUSE - SAN FRANCISCO CAMPUS,844,SAN FRANCISCO,37.752119,-122.476924,Combined elementary and secondary,743,Combined elementary and secondary
2210,MEADOWS-LIVINGSTONE SCHOOL,27,SAN FRANCISCO,37.749703,-122.405322,Combined elementary and secondary,25,Combined elementary and secondary
